date,url,title,contents,author,topic
2016-05-04,https://blog.hubspot.com/marketing/ted-talks-confidence-boost,10 Inspiring TED Talks That'll Boost Your Self-Confidence,,Lindsay Kolowich,3
2016-04-21,https://blog.hubspot.com/marketing/7-tips-more-personal-transactional-emails,7 Tips for Making Your Transactional Emails More Personal,,Nathan Miller,5
2016-04-21,https://blog.hubspot.com/marketing/market-research-tools-resources,17 Tools & Resources for Conducting Market Research,,Jami Oetting,9
2016-04-22,https://blog.hubspot.com/marketing/applying-gdd-to-ecommerce-websites,Applying Growth-Driven Design to Ecommerce Websites,,Caroline Ruhland,1
2016-04-22,https://blog.hubspot.com/marketing/website-redesign-timelines,Time for a Website Overhaul? A Look Into the Redesign Timelines of 6K+ Businesses,,Jeffrey Vocell,8
2016-04-22,https://blog.hubspot.com/marketing/workspace-productivity-tips,How to Turn Your Workspace Into a Den of Productivity,,Erik Devaney,9
2016-04-21,https://blog.hubspot.com/marketing/trello-board-tips-for-teams,8 Creative Ways to Manage Your Tasks & Projects Effectively Using Trello Boards,,Lindsay Kolowich,6
2016-04-25,https://blog.hubspot.com/marketing/the-ultimate-survival-guide-to-conferences,8 Top Tips to Survive Your Next Conference,,Daryn Smith,8
2016-04-25,https://blog.hubspot.com/marketing/why-how-where-our-time-gets-lost-at-work-infographic,Where Time Gets Lost at Work (And How to Get It Back) [Infographic],,Erik Devaney,4
2016-04-24,https://blog.hubspot.com/marketing/productivity-lessons-hubspot-dharmesh-shah,3 Productivity Lessons From HubSpot Co-Founder Dharmesh Shah,,Leslie Ye,0
2016-04-23,https://blog.hubspot.com/marketing/social-advertisement-sizes-facebook-twitter-linkedin,"The Ultimate Ad Dimension Cheat Sheet for Facebook, Twitter, LinkedIn & Other Social Networks [Infographic]",,Jami Oetting,2
2016-04-25,https://blog.hubspot.com/marketing/why-we-need-sleep,Why Am I So Tired? A Deep Dive Into Our Need for Sleep,,Lindsay Kolowich,5
2016-04-22,https://blog.hubspot.com/marketing/brand-experience-survey,There's a Problem With Brand Identity: What Marketers Really Think About Brand Experience [Infographic],,Lindsay Kolowich,5
2016-04-25,https://blog.hubspot.com/marketing/unstuck-career,How to Get Unstuck in Your Career,,Rebecca Corliss,4
2016-04-26,https://blog.hubspot.com/marketing/market-research-buyers-journey-guide,How to Do Market Research: A Step-by-Step Guide to Understanding Your Buyer's Journey,,Debbie Farese,3
2016-04-19,https://blog.hubspot.com/marketing/professional-content-mistakes,8 Mistakes Even Professional Content Writers Make (And How to Avoid Them),,Neil Patel,0
2016-04-26,https://blog.hubspot.com/marketing/generate-traffic-conversions-blog,How to Optimize Your Existing Blog Content for Traffic & Conversions [Live Google Hangout],,Christine White,1
2016-04-19,https://blog.hubspot.com/marketing/basics-of-website-security-for-ecommerce,Safety First: The Basics of Website Security for Ecommerce Retailers,,Caroline Ruhland,1
2016-04-19,https://blog.hubspot.com/marketing/top-ways-to-use-user-generated-content-ecommerce,The Top 3 Ways to Use User-Generated Content in Ecommerce,,Joanna Alter,4
2016-04-20,https://blog.hubspot.com/marketing/simple-productivity-tips,How to Find Your Flow: A Simple Guide to Better Concentration & Higher Productivity [Infographic],,Lindsay Kolowich,4
2016-04-20,https://blog.hubspot.com/marketing/video-editing-software,7 of the Best Pieces of Free Video Editing Software,,Erik Devaney,2
2016-04-21,https://blog.hubspot.com/marketing/how-to-memorize-a-speech-infographic,How to Memorize a Speech Using Visualization Techniques [Infographic],,Erik Devaney,1
2016-04-26,https://blog.hubspot.com/marketing/you-can-still-reach-people-using-ad-block-software,You Can Still Reach People Using Ad Block Software,,Joshua Schnell,5
2016-04-27,https://blog.hubspot.com/marketing/better-public-speaker-exercise,How to Become a Better Public Speaker: The Unlikely Exercise That Helped Unlock My Potential,,Kipp Bodnar,0
2016-04-20,https://blog.hubspot.com/marketing/interview-questions-ask-hiring-managers,14 Questions Job Candidates Should Ask to Impress Interviewers,,Lindsay Kolowich,0
2016-04-26,https://blog.hubspot.com/marketing/how-to-write-cover-letter-template,How to Write a Cover Letter That Gets You the Job [Template + Examples],,Rachel Sprung,8
2016-04-26,https://blog.hubspot.com/marketing/8-reasons-super-specialized-companies-should-embrace-inbound,8 Reasons Super Specialized Companies Should Embrace Inbound,,Bill Peatman,6
2016-04-28,https://blog.hubspot.com/marketing/desk-job-hazards,The Hazards of Working a Desk Job & How to Overcome Them [Infographic],,Erik Devaney,2
2016-04-27,https://blog.hubspot.com/marketing/snapchat-best-brands,10 of the Best Brands on Snapchat Right Now (And Why They're So Great),,Lindsay Kolowich,0
2016-04-20,https://blog.hubspot.com/marketing/snapchat-is-growing-up,Snapchat Is Growing Up,,Courtney Williams,8
2016-04-27,https://blog.hubspot.com/marketing/what-to-do-if-website-traffic-is-down,What To Do If Your Website Traffic Is Down,,Mario DeAlmeida,1
2016-04-28,https://blog.hubspot.com/marketing/speed-up-editorial-process,How to Become a More Efficient Editor: 12 Ways to Speed Up the Editorial Process,,Lindsay Kolowich,0
2016-04-28,https://blog.hubspot.com/marketing/psychology-ecommerce-loyalty-program,The Psychology of Ecommerce: Why Your Loyalty Program May Not Build Loyalty,,Greg Wise,7
2016-04-29,https://blog.hubspot.com/marketing/stress-management-apps,14 Stress Management Apps to Relax Your Mind & Body,,Lindsay Kolowich,3
2016-04-28,https://blog.hubspot.com/marketing/why-prospective-students-arent-opening-your-emails,Why Prospective Students Aren't Opening Your Emails,,David Ross,9
2016-04-28,https://blog.hubspot.com/blog/tabid/6307/bid/30557/6-Guidelines-for-Exceptional-Website-Design-and-Usability.aspx,"8 Guidelines for Exceptional Web Design, Usability, and User Experience",,Erik Devaney,5
2016-04-29,https://blog.hubspot.com/marketing/strategies-to-drive-member-engagement,Strategies to Drive Member Engagement,,David DeMambro,8
2016-04-05,https://blog.hubspot.com/marketing/online-offline-marketing-together,How Online & Offline Marketing Can Work Together [Infographic],,Lindsay Kolowich,4
2016-04-05,https://blog.hubspot.com/marketing/get-more-from-your-fundraising-events,Get More from Your Fundraising Events,,Nick Cholakis,4
2016-04-05,https://blog.hubspot.com/marketing/successful-dropouts,From Steve Jobs to Jay Z: 6 Successful People Who Dropped Out of School (And Why),,Erik Devaney,6
2016-04-05,https://blog.hubspot.com/blog/tabid/6307/bid/32984/Feast-Your-Eyes-on-These-9-Examples-of-Beautiful-Email-Marketing.aspx,13 of the Best Examples of Beautiful Email Design,,Lindsay Kolowich,1
2016-04-06,https://blog.hubspot.com/marketing/medium-publications-to-follow,8 Medium Publications You Should Be Following,,Erik Devaney,5
2016-04-06,https://blog.hubspot.com/marketing/how-schools-can-use-segmentation-to-increase-enrollment-rates,How Schools Can Use Segmentation to Increase Enrollment Rates,I'm a:,David Ross,2
2016-04-07,https://blog.hubspot.com/marketing/b2b-vs-b2c-content-lessons,How to Make Your Content More Shareable: An Analysis of 175K Blog Posts From B2B & B2C Companies [New Report],,Ellen Bartolino,9
2016-04-06,https://blog.hubspot.com/marketing/what-to-post-on-instagram,What to Post on Instagram: 18 Photo & Video Ideas to Spark Inspiration,,Lindsay Kolowich,7
2016-04-06,https://blog.hubspot.com/marketing/reasons-small-business-owners-adopt-ecommerce,5 Reasons Small Business Owners Adopt Ecommerce,,Ted Ammon,2
2016-04-07,https://blog.hubspot.com/marketing/what-facebooks-latest-changes-mean-for-publishers,What Facebook’s Latest Changes Mean for Publishers,,Christian Mongillo,7
2016-04-07,https://blog.hubspot.com/marketing/facebook-declining-organic-reach,Why Don't My Facebook Fans See My Posts? The Decline of Organic Facebook Reach,,Erik Devaney,9
2016-04-07,https://blog.hubspot.com/marketing/inbound-sales-methodology-and-certification,Inbound Isn't Just for Marketing: Introducing HubSpot's Inbound Sales Methodology & Certification,,Brian Halligan,5
2016-04-08,https://blog.hubspot.com/marketing/stress-level-flowchart,How Stressed Are You Right Now? [Flowchart],,Lindsay Kolowich,3
2016-04-08,https://blog.hubspot.com/marketing/completion-bias-productivity,The One Cognitive Bias That Could Be Derailing Your Productivity,,Lindsay Kolowich,2
